"Data\Textures\vehicles\manufacturer\CRUS\CRUS_Fabric_Bespoke_ddna.dds.8",14/07/2020 18:49:00,16777216
"Data\Textures\vehicles\manufacturer\CRUS\CRUS_Fabric_Bespoke_ddna.dds.8a",14/07/2020 18:49:00,8388608
"Data\Textures\vehicles\manufacturer\CRUS\CRUS_Fabric_Bespoke_diff.dds.8",14/07/2020 18:49:00,8388608
"Data\Textures\vehicles\manufacturer\CRUS\crus_ptrn_rubber_a_ddna.dds.7",25/06/2020 00:46:58,4194304
"Data\Textures\vehicles\manufacturer\CRUS\crus_trim_01_diff.dds.7",25/06/2020 00:48:50,4194304
"Data\Textures\vehicles\manufacturer\CRUS\CRUS_Fabric_Bespoke_ddna.dds.7",14/07/2020 18:49:00,4194304
"Data\Textures\vehicles\manufacturer\CRUS\crus_wire_trim_01_ddna.dds.7",24/06/2020 06:00:22,4194304
"Data\Textures\vehicles\manufacturer\CRUS\crus_pom_ddna.dds.8",05/04/2020 00:49:48,16777216
"Data\Textures\vehicles\manufacturer\CRUS\crus_pom_ddna.dds.8a",05/04/2020 00:49:48,8388608
"Data\Textures\vehicles\manufacturer\CRUS\crus_grate_trim_01_ddna.dds.7a",23/07/2020 00:10:16,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_painted_panels_01_wear_ddna.dds.7a",02/06/2020 22:14:14,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_trim_01_dark_wear_ddna.dds.7a",17/07/2020 22:04:08,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_painted_panels_01_ddna.dds.7a",02/06/2020 22:14:14,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_trim_01_dark_ddna.dds.7a",17/07/2020 22:04:08,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_wire_trim_01_ddna.dds.7a",24/06/2020 06:00:22,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_ptrn_rubber_a_ddna.dds.7a",25/06/2020 00:46:58,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_trim_01_wear_ddna.dds.7a",25/06/2020 00:47:42,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_trim_01_ddna.dds.7a",25/06/2020 00:47:28,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_painted_panels_01_wear_diff.dds.7",02/06/2020 22:07:14,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_ptrn_rubber_a_displ.dds.7",25/06/2020 00:46:52,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_pom_diff.dds.8",09/08/2020 01:04:00,16777216
"Data\Textures\vehicles\manufacturer\CRUS\CRUS_Fabric_Bespoke_ddna.dds.7a",14/07/2020 18:49:00,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_engine_trim_01_ddna.dds.7a",24/04/2020 11:55:40,2097152
"Data\Textures\vehicles\manufacturer\CRUS\crus_painted_panels_01_diff.dds.7",02/06/2020 22:14:18,2097152
